question,facts,results,precision,recall
['Ryan Seacrest has been the presenter of how many things?'],"['http://dbpedia.org/ontology/presenter,']",[' [        "http://dbpedia.org/ontology/presenter"    ]'],['1.0'],['1.0']
['Did the New Way party merge in the One Israel party?'],"['http://dbpedia.org/ontology/mergedIntoParty,']",[' [        "http://dbpedia.org/property/party"    ]'],['0.0'],['0.0']
['Name the organization which developed iPhone OS and the XNU?'],"['http://dbpedia.org/property/developer,http://dbpedia.org/ontology/developer,']",[' [        "http://dbpedia.org/ontology/developer"    ]'],['1.0'],['1.0']
['What are the television shows whose network is BBC HD?'],"['http://dbpedia.org/ontology/network,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/network"    ]'],['1.0'],['1.0']
['Which stadium is owned by the team whose manager is Dimitris Terezopoulos?'],"['http://dbpedia.org/property/manager,http://dbpedia.org/property/stadium,']",[],,
['Was John Muir the first one to ascend one of the peaks in the cathedral peak?'],"['http://dbpedia.org/ontology/firstAscentPerson,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['0.0'],['0.0']
['What is the television show whose previous work is The Spirit of Christmas (short film)?'],"['http://dbpedia.org/ontology/previousWork,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/previousWork"    ]'],['1.0'],['1.0']
['List the series of the books whose author is K. W. Jeter.'],"['http://dbpedia.org/property/author,http://dbpedia.org/ontology/series,http://dbpedia.org/ontology/Book,']",[],,
['List the authors of the musicals whose songwriter is Richard M. Sherman.'],"['http://dbpedia.org/ontology/musicBy,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Musical,']",[' [        "http://dbpedia.org/ontology/writer"    ]'],['0.0'],['0.0']
['What musicians are signed up with colpix records?'],"['http://dbpedia.org/property/label,http://dbpedia.org/ontology/MusicalArtist,']",[],,
"['What is the river whose source region is North-Western Province, Zambia and river mouth is Indian Ocean?']","['http://dbpedia.org/property/sourceRegion,http://dbpedia.org/ontology/riverMouth,http://dbpedia.org/ontology/River,']",[' [        "http://dbpedia.org/ontology/riverMouth"    ]'],['1.0'],['1.0']
['How many things are people who died in St. Petersburg known for?'],"['http://dbpedia.org/property/deathPlace,http://dbpedia.org/ontology/knownFor,']",[' [        "http://dbpedia.org/property/deathPlace"    ]'],['1.0'],['1.0']
['Where did ed podolak go to high school'],"['http://dbpedia.org/ontology/highschool,']",[],,
['Of which countries  does Viveka Babajee have citizenship?'],"['http://dbpedia.org/property/citizenship,']",[],,
['Which university attended by Donn Barber and education institute of Jack McGregor ?'],"['http://dbpedia.org/property/education,http://dbpedia.org/ontology/education,']",[' [        "http://dbpedia.org/ontology/country"    ]'],['0.5'],['1.0']
['Count all those whose youth club was managed by Luis Enrique.'],"['http://dbpedia.org/property/manager,http://dbpedia.org/property/youthclubs,']",[' [        "http://dbpedia.org/ontology/team"    ]'],['0.0'],['0.0']
['Which famous horserace has seen both Fergie sutherland and the illustrious War of Attrition?'],"['http://dbpedia.org/property/race,http://dbpedia.org/property/race,']",[],,
['Who are in the liang chow club?'],"['http://dbpedia.org/property/club,']",[],,
['What are the different religions followed by presidents whose prime minister was Surayud Chulanont?'],"['http://dbpedia.org/property/primeminister,http://dbpedia.org/ontology/religion,http://dbpedia.org/ontology/President,']",[' [        "http://dbpedia.org/ontology/religion"    ]'],['1.0'],['1.0']
['Does Heydar mean the same as a lion?'],"['http://dbpedia.org/property/meaning,']",[],,
['List the fields of Sylvain Lvi ?'],"['http://dbpedia.org/property/fields,']",[],,
['How many managers have managed Middlesbrough FC?'],"['http://dbpedia.org/ontology/managerClub,']",[' [        "http://dbpedia.org/ontology/managerTitle"    ]'],['0.0'],['0.0']
['In what movies did Akira Ifukube compose the music?'],"['http://dbpedia.org/property/music,http://dbpedia.org/ontology/Film,']",[],,
"['How many awards have been awarded to people who are buried in Glendale, California?']","['http://dbpedia.org/ontology/restingPlace,http://dbpedia.org/ontology/award,']",[' [        "http://dbpedia.org/property/deathPlace"    ]'],['0.0'],['0.0']
["List all those whose relatives' nationality is United States."],"['http://dbpedia.org/property/nationality,http://dbpedia.org/ontology/relative,']",[' [        "http://dbpedia.org/ontology/relative"    ]'],['1.0'],['1.0']
['How many people were in a youthclub which played in the Argentine Primera Division?'],"['http://dbpedia.org/property/league,http://dbpedia.org/property/youthclubs,']",[],,
['Did chris lebenzon edit Batman returns?'],"['http://dbpedia.org/property/editing,']",[],,
['Name the TV show with distributor as Broadcast syndication and has theme music composed by Primus ?'],"['http://dbpedia.org/ontology/distributor,http://dbpedia.org/property/themeMusicComposer,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/distributor"    ]'],['1.0'],['1.0']
"['Which military unit garrison is Arlington County, Virginia and The Pentagon?']","['http://dbpedia.org/ontology/garrison,http://dbpedia.org/property/garrison,http://dbpedia.org/ontology/MilitaryUnit,']",[' [        "http://dbpedia.org/ontology/garrison"    ]'],['1.0'],['1.0']
['Was Let it Be written by Ringo Starr?'],"['http://dbpedia.org/ontology/musicBy,']",[' [        "http://dbpedia.org/ontology/writer"    ]'],['0.0'],['0.0']
['How many artists are signed up with Celluloid Records?'],"['http://dbpedia.org/property/label,']",[],,
['Which country were the associates of Hilda Duhalde from?'],"['http://dbpedia.org/ontology/associate,http://dbpedia.org/ontology/nationality,']",[],,
['Which television shows have been produced by Erik Bork?'],"['http://dbpedia.org/ontology/producer,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/occupation"    ]'],['0.5'],['1.0']
['Name the university with mascot as Aubie and president as jay Gogue ?'],"['http://dbpedia.org/property/mascot,http://dbpedia.org/ontology/president,http://dbpedia.org/ontology/University,']",[' [        "http://dbpedia.org/ontology/president"    ]'],['1.0'],['1.0']
['What is the alma mater of the scientist  whose PhD advisor is Jean-Claude Latombe ?'],"['http://dbpedia.org/ontology/doctoralAdvisor,http://dbpedia.org/property/almaMater,http://dbpedia.org/ontology/Scientist,']",[' [        "http://dbpedia.org/ontology/almaMater"    ]'],['0.0'],['0.0']
["Which magazine's editor's official residence is Playboy Mansion?"],"['http://dbpedia.org/ontology/residence,http://dbpedia.org/property/editor,http://dbpedia.org/ontology/Magazine,']",[' [        "http://dbpedia.org/ontology/residence"    ]'],['1.0'],['1.0']
['What are the television shows telecasted on the network which has headquarters at Atlanta?'],"['http://dbpedia.org/property/headquarters,http://dbpedia.org/property/network,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/property/headquarters"    ]'],['1.0'],['1.0']
['By whom is the broadcaster network Bounce TV founded?'],"['http://dbpedia.org/ontology/foundedBy,']",[' [        "http://dbpedia.org/ontology/country"    ]'],['0.0'],['0.0']
['Where was William anthony trained ?'],"['http://dbpedia.org/property/training,']",[],,
['How many other family of the mammals exists  whose family is also Hominidae ?'],"['http://dbpedia.org/ontology/family,http://dbpedia.org/ontology/family,']",[' [        "http://dbpedia.org/ontology/family"    ]'],['1.0'],['1.0']
['Name the country with currency as Aureus ?'],"['http://dbpedia.org/ontology/currency,http://dbpedia.org/ontology/Country,']",[' [        "http://dbpedia.org/ontology/currency"    ]'],['1.0'],['1.0']
['How many awards have royal designers for industry awardwinners got?'],"['http://dbpedia.org/property/awards,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Award,']",[' [        "http://dbpedia.org/ontology/award"    ]'],['1.0'],['1.0']
['Which airlines fly to Gimhae International Airport?'],"['http://dbpedia.org/ontology/targetAirport,']",[' [        "http://dbpedia.org/ontology/location"    ]'],['0.5'],['1.0']
,,[],,
,,[],,
['Which country has the Carmel Winery and the Teperberg 1870 winery ?'],"['http://dbpedia.org/property/locationCountry,http://dbpedia.org/property/locationCountry,']",[],,
"['Name the river whose source is located in Itasca State Park and mouth is located in Pilottown, Louisiana?']","['http://dbpedia.org/property/sourceLocation,http://dbpedia.org/property/mouthLocation,http://dbpedia.org/ontology/River,']",[],,
['What is the river which comes from Southend-on-Sea mountain?'],"['http://dbpedia.org/ontology/mouthMountain,http://dbpedia.org/ontology/River,']",[' [        "http://dbpedia.org/ontology/country"    ]'],['0.0'],['0.0']
['Where did Meg McGuffin graduated ?'],"['http://dbpedia.org/ontology/education,']",[],,
['Name the movies for which music was given by  Geoffrey Burgon and distributed by  Cinema International Corporation?'],"['http://dbpedia.org/property/music,http://dbpedia.org/property/distributor,http://dbpedia.org/ontology/Film,']",[],,
['Count the total number of academic discipline of the journals whose one of the academic discipline is Neuroimaging ?'],"['http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/ontology/academicDiscipline,']",[' [        "http://dbpedia.org/ontology/academicDiscipline"    ]'],['1.0'],['1.0']
['What is the faith of the Ajith Perera and religious affiliation of the Neungin High School?'],"['http://dbpedia.org/ontology/religion,http://dbpedia.org/property/religiousAffiliation,']",[' [        "http://xmlns.com/foaf/0.1/gender"    ]'],['0.0'],['0.0']
['What is the mascot of the Royal Australian Air Force and Austin College?'],"['http://dbpedia.org/property/mascot,http://dbpedia.org/property/mascot,']",[],,
['Who managed England national under-20 football team and Middlesbrough F.C.?'],"['http://dbpedia.org/property/managerclubs,http://dbpedia.org/ontology/managerClub,']","[' [        ""http://dbpedia.org/ontology/managerClub"",         ""http://dbpedia.org/ontology/team""    ]']",['0.5'],['0.5']
['What is the religion of the ethnic group to which Clara Ng belongs?'],"['http://dbpedia.org/ontology/ethnicity,http://dbpedia.org/ontology/religion,http://dbpedia.org/ontology/EthnicGroup,']",[' [        "http://dbpedia.org/ontology/artist"    ]'],['0.0'],['0.0']
['What are the awards won by the film director of Saraband ?'],"['http://dbpedia.org/ontology/director,http://dbpedia.org/property/awards,']",[' [        "http://dbpedia.org/ontology/director"    ]'],['1.0'],['1.0']
['Was John of Damascus canonized by Anglican Communion?'],"['http://dbpedia.org/property/canonizedBy,']",[],,
['Who owns the horses which have won the Timeform award?'],"['http://dbpedia.org/property/awards,http://dbpedia.org/ontology/owner,http://dbpedia.org/ontology/Horse,']",[' [        "http://dbpedia.org/ontology/award"    ]'],['0.0'],['0.0']
['Was George Cash in the western australian parliament?'],"['http://dbpedia.org/property/parliament,']",[' [        "http://dbpedia.org/property/parliament"    ]'],['1.0'],['1.0']
['What are the notableworks of Russell T Davies?'],"['http://dbpedia.org/property/notableworks,']",[],,
['Horses grandsired by Sundridge  have won which awards?'],"['http://dbpedia.org/ontology/grandsire,http://dbpedia.org/ontology/honours,http://dbpedia.org/ontology/Horse,']",[' [        "http://dbpedia.org/ontology/sire"    ]'],['0.5'],['1.0']
['What is the nickname of the home stadium of Angels Toru?'],"['http://dbpedia.org/ontology/homeStadium,http://dbpedia.org/property/nickname,']",[],,
['What are the bands associated with the artists of My Favorite Girl  ?'],"['http://dbpedia.org/property/artist,http://dbpedia.org/ontology/associatedBand,']",[],,
['What is the layout of Subaru Legacy (second generation) ?'],"['http://dbpedia.org/ontology/layout,']",[' [        "http://dbpedia.org/ontology/layout"    ]'],['1.0'],['1.0']
['Name an American football player whose debuted in Chicago Bears and former team is 1998 Baltimore Ravens season?'],"['http://dbpedia.org/property/debutteam,http://dbpedia.org/ontology/formerTeam,http://dbpedia.org/ontology/AmericanFootballPlayer,']",[' [        "http://dbpedia.org/property/player"    ]'],['0.5'],['1.0']
['What is the deathplace of the Anatoly Kharlampiyev which is also the death place of  Lyudmila Buldakova?'],"['http://dbpedia.org/property/deathPlace,http://dbpedia.org/property/deathPlace,']",[],,
['What are the professions of Frederick Frelinghuysen (general) ?'],"['http://dbpedia.org/property/occupation,']",[],,
['List the starring of the movies whose label is T-Series ?'],"['http://dbpedia.org/property/label,http://dbpedia.org/property/starring,http://dbpedia.org/ontology/Film,']",[' [        "http://dbpedia.org/ontology/recordLabel"    ]'],['0.5'],['1.0']
['Is Pittsburgh Steelers the former team of Marv McFadden?'],"['http://dbpedia.org/property/pastteams,']",[],,
['What is the ideology of Palang Dharma Party ?'],"['http://dbpedia.org/ontology/ideology,']",[' [        "http://dbpedia.org/ontology/ideology"    ]'],['1.0'],['1.0']
['Name the common record label of I pray on Christmas and Next Thing ?'],"['http://dbpedia.org/property/label,http://dbpedia.org/ontology/recordLabel,']",[' [        "http://dbpedia.org/ontology/recordLabel"    ]'],['1.0'],['1.0']
['How many cities are around the sea in which the ionian sea flows?'],"['http://dbpedia.org/ontology/outflow,http://dbpedia.org/property/cities,http://dbpedia.org/ontology/Sea,']",[' [        "http://dbpedia.org/ontology/sea"    ]'],['0.0'],['0.0']
["Which television show's theme music composer is Gary Portnoy and subsequent work is Frasier?"],"['http://dbpedia.org/property/themeMusicComposer,http://dbpedia.org/ontology/subsequentWork,http://dbpedia.org/ontology/TelevisionShow,']","[' [        ""http://dbpedia.org/ontology/composer"",         ""http://dbpedia.org/ontology/subsequentWork""    ]']",['0.5'],['0.5']
['Name the licensee of the TV station whose one of the licensee is Incorporation ?'],"['http://dbpedia.org/property/licensee,http://dbpedia.org/property/licensee,http://dbpedia.org/ontology/TelevisionStation,']",[],,
['Was James maker in the band Noko?'],"['http://dbpedia.org/ontology/associatedBand,']",[' [        "http://dbpedia.org/ontology/associatedBand"    ]'],['1.0'],['1.0']
['Which awards did the parents of Anna Bergman win ?'],"['http://dbpedia.org/ontology/parent,http://dbpedia.org/property/awards,']",[' [        "http://dbpedia.org/ontology/parent"    ]'],['1.0'],['1.0']
['Does Lionel Messi play in the Argentina National Football Team?'],"['http://dbpedia.org/property/nationalteam,']",[' [        "http://dbpedia.org/ontology/team"    ]'],['0.0'],['0.0']
['Was X the Unknown edited by James needs?'],"['http://dbpedia.org/ontology/editing,']",[' [        "http://dbpedia.org/ontology/editing"    ]'],['1.0'],['1.0']
['Which company owns Sony bank ?'],"['http://dbpedia.org/ontology/owningCompany,']",[' [        "http://dbpedia.org/ontology/owningCompany"    ]'],['1.0'],['1.0']
['Martin AN/GSG-5 is a part of the building in which city?'],"['http://dbpedia.org/ontology/part,http://dbpedia.org/resource/Martin_AN/GSG-5_Battery_Integration_and_Radar_Display_Equipment,http://dbpedia.org/property/district,http://dbpedia.org/ontology/Building,']",[],,
['Who is the president of United World College of Costa Rica ?'],"['http://dbpedia.org/ontology/president,']",[' [        "http://dbpedia.org/ontology/president"    ]'],['1.0'],['1.0']
['What party was in majority of Fourth Legislative Assembly of Delhi?'],"['http://dbpedia.org/property/party,']",[],,
['What is the venue of Indy PopCon ?'],"['http://dbpedia.org/property/venue,']",[],,
['Which non fictional subject of Thud is the athletics of PATTS College of Aeronautics ?'],"['http://dbpedia.org/ontology/nonFictionSubject,http://dbpedia.org/property/athletics,']",[' [        "http://dbpedia.org/ontology/athletics"    ]'],['0.0'],['0.0']
['Where is the birthplace of Ferrel Harris ?'],"['http://dbpedia.org/property/birthplace,']",[],,
['who was the president under whom winston bryant served as a lieutenant?'],"['http://dbpedia.org/ontology/lieutenant,']",[' [        "http://dbpedia.org/ontology/lieutenant"    ]'],['1.0'],['1.0']
['Is Essex the Ceremonial County of West Tilbury?'],"['http://dbpedia.org/ontology/ceremonialCounty,']",[' [        "http://dbpedia.org/ontology/ceremonialCounty"    ]'],['1.0'],['1.0']
['What are the airlines whose hub airport is Los Angeles International Airport?'],"['http://dbpedia.org/ontology/hubAirport,http://dbpedia.org/ontology/Airline,']",[' [        "http://dbpedia.org/ontology/hubAirport"    ]'],['1.0'],['1.0']
['Name the common nationality of Georgina Theodora Wood and akwasi Oppong Fosu ?'],"['http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/nationality,']",[' [        "http://dbpedia.org/ontology/nationality"    ]'],['1.0'],['1.0']
['What is the sovereign state of the Dafydd Benfras where Jasmine Lowson is also citizen of ?'],"['http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/citizenship,']","[' [        ""http://dbpedia.org/ontology/country"",         ""http://dbpedia.org/ontology/birthPlace""    ]']",['0.5'],['0.5']
['What are the nicknames given to the characters of The Wolves of the Mercy Falls?'],"['http://dbpedia.org/property/nickname,']",[],,
['How many people are buried in the Winchester Cathedral?'],"['http://dbpedia.org/ontology/restingPlace,']",[' [        "http://dbpedia.org/property/buried"    ]'],['0.5'],['1.0']
['What is the colour of Red Marauder ?'],"['http://dbpedia.org/ontology/colour,']",[' [        "http://dbpedia.org/ontology/colour"    ]'],['1.0'],['1.0']
['List the territory of Tonkin Campaign ?'],"['http://dbpedia.org/ontology/territory,']",[' [        "http://dbpedia.org/ontology/territory"    ]'],['1.0'],['1.0']
['What is the route start of Capitol 400 ?'],"['http://dbpedia.org/ontology/routeStart,']",[' [        "http://dbpedia.org/ontology/routeStart"    ]'],['1.0'],['1.0']
['What other awards have been given to Golden Globe winners?'],"['http://dbpedia.org/ontology/award,http://dbpedia.org/property/awards,']",[' [        "http://dbpedia.org/ontology/award"    ]'],['1.0'],['1.0']
["With which musical artist is the music group which sung Mind Blowin' related to ?  "],"['http://dbpedia.org/ontology/musicalArtist,http://dbpedia.org/ontology/associatedMusicalArtist,']",[' [        "http://dbpedia.org/ontology/musicalArtist"    ]'],['1.0'],['1.0']
['List the universities with athletics NCAA Division I Football Bowl Subdivision ?'],"['http://dbpedia.org/property/athletics,http://dbpedia.org/ontology/University,']",[],,
['In which races does Coneygree compete?'],"['http://dbpedia.org/property/race,']",[],,
["Who was the designer of john madden Football '92 ?"],"['http://dbpedia.org/property/designer,']",[],,
['Which ancient country had capital as Nicomedia and History of Trier?'],"['http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,']","[' [        ""http://dbpedia.org/ontology/capital"",         ""http://dbpedia.org/property/deathPlace""    ]']",['1.0'],['1.0']
['Which sports are played in schools founded by Fr Almeida?'],"['http://dbpedia.org/property/founder,http://dbpedia.org/ontology/sport,http://dbpedia.org/ontology/School,']",[],,
,,[],,
,,[],,
['In which state is the alma mater of Ben Ysursa located ?'],"['http://dbpedia.org/property/almaMater,http://dbpedia.org/ontology/state,']",[],,
['Players from how many teams have participated in the National Hockey League?'],"['http://dbpedia.org/property/league,http://dbpedia.org/ontology/team,http://dbpedia.org/ontology/SportsTeam,']",[' [        "http://dbpedia.org/ontology/formerTeam"    ]'],['0.0'],['0.0']
['Which awards have been given to scientists that graduated from NKU athens?'],"['http://dbpedia.org/ontology/almaMater,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Scientist,']",[' [        "http://dbpedia.org/property/almaMater"    ]'],['0.5'],['1.0']
['Name the club of Julie Hastings ?'],"['http://dbpedia.org/ontology/club,']",[' [        "http://dbpedia.org/ontology/club"    ]'],['1.0'],['1.0']
['What is the death location of the scientist who is the known authority of Hallopus ?'],"['http://dbpedia.org/ontology/binomialAuthority,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/ontology/Scientist,']",[' [        "http://purl.org/dc/terms/subject"    ]'],['0.5'],['1.0']
['Whose creators are Jerry Seinfeld and Larry David?'],"['http://dbpedia.org/ontology/creator,http://dbpedia.org/ontology/creator,']",[' [        "http://dbpedia.org/ontology/creator"    ]'],['1.0'],['1.0']
['Who are the people who played for San Francisco 49ers?'],"['http://dbpedia.org/ontology/team,']",[' [        "http://dbpedia.org/property/team"    ]'],['0.5'],['1.0']
['What is the Nickname of the school where Jeff Hornacek studied  ?'],"['http://dbpedia.org/property/highschool,http://dbpedia.org/property/nickname,http://dbpedia.org/ontology/School,']",[],,
['Which artist married to Lee Krasner?'],"['http://dbpedia.org/property/spouse,http://dbpedia.org/ontology/Artist,']",[],,
['Name all the doctoral student of the scientist who also supervised Mary Ainsworth ?'],"['http://dbpedia.org/property/doctoralStudents,http://dbpedia.org/property/doctoralStudents,http://dbpedia.org/ontology/Scientist,']",[],,
["Who was in youth clubs of FC Barcelona and Newell's Old Boys?"],"['http://dbpedia.org/property/youthclubs,http://dbpedia.org/property/youthclubs,']","[' [        ""http://dbpedia.org/property/youthclubs"",         ""http://dbpedia.org/ontology/team""    ]']",['1.0'],['1.0']
["Which river's mouth is located in Gulf of Mexico and has source location as Itasca State Park ?"],"['http://dbpedia.org/ontology/riverMouth,http://dbpedia.org/property/sourceLocation,http://dbpedia.org/ontology/River,']",[' [        "http://dbpedia.org/ontology/location"    ]'],['0.0'],['0.0']
['Whose youth clubs used to participate in Argentine Primera Division?'],"['http://dbpedia.org/property/league,http://dbpedia.org/property/youthclubs,']",[],,
['Which prime ministers were served by the governor who appointed Murray Gleeson?'],"['http://dbpedia.org/ontology/appointer,http://dbpedia.org/ontology/primeMinister,']","[' [        ""http://dbpedia.org/ontology/primeMinister"",         ""http://dbpedia.org/ontology/successor""    ]']",['0.5'],['0.5']
['What are the movies whose music composer is Akira Ifukube?'],"['http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,']",[' [        "http://dbpedia.org/ontology/musicComposer"    ]'],['1.0'],['1.0']
['Which adminstrative region of Lawrence F. Cafero is also the resting place of Samuel Keeler ?'],"['http://dbpedia.org/ontology/region,http://dbpedia.org/ontology/restingPlace,']","[' [        ""http://dbpedia.org/ontology/region"",         ""http://dbpedia.org/ontology/restingPlace""    ]']",['1.0'],['1.0']
['Who appointed both John Drayton and William Clark to their respective offices?'],"['http://dbpedia.org/property/appointer,http://dbpedia.org/property/appointer,']",[],,
['What is the mouth mountain of Current River (Missouri) ?'],"['http://dbpedia.org/ontology/mouthMountain,']",[' [        "http://dbpedia.org/ontology/mouthMountain"    ]'],['1.0'],['1.0']
['Who all did their high school in Denbigh high School?'],"['http://dbpedia.org/property/highSchool,']",[],,
['Is Azerbaijan the membership of European Go Federation?'],"['http://dbpedia.org/property/membership,']",[],,
['Who debuted their career in a team coached by Chip Kelly?'],"['http://dbpedia.org/property/coach,http://dbpedia.org/ontology/debutTeam,']",[],,
['What is the religious affiliation of Hong Kong Taoist Association Tang Hin Memorial Secondary School ?'],"['http://dbpedia.org/property/religiousAffiliation,']",[],,
['Did Joe Namath did his highschool in Beaver Falls High School?'],"['http://dbpedia.org/property/highSchool,']",[' [        "http://dbpedia.org/ontology/highschool"    ]'],['0.0'],['0.0']
['Which work is both Neil Cross and Lars Pearson both known for ?'],"['http://dbpedia.org/ontology/notableWork,http://dbpedia.org/ontology/notableWork,']","[' [        ""http://dbpedia.org/ontology/notableWork"",         ""http://dbpedia.org/ontology/spouse""    ]']",['1.0'],['1.0']
["Which predecessor of the PlayStation 4 is also the developer of Oddworld: Munch's Oddysee?"],"['http://dbpedia.org/property/predecessor,http://dbpedia.org/ontology/developer,']",[' [        "http://dbpedia.org/ontology/predecessor"    ]'],['0.5'],['1.0']
['Name few movies directed by Tim Burton ?'],"['http://dbpedia.org/property/director,http://dbpedia.org/ontology/Film,']",[],,
['What are the awards won by the producer of Puss in Boots (film)?'],"['http://dbpedia.org/ontology/producer,http://dbpedia.org/ontology/award,']",[' [        "http://dbpedia.org/ontology/producer"    ]'],['1.0'],['1.0']
["Name the college of the Allama Matthews which also has affiliation with  Monroe Carell Jr. Children's Hospital at Vanderbilt"],"['http://dbpedia.org/ontology/college,http://dbpedia.org/property/affiliation,']",[' [        "http://dbpedia.org/ontology/college"    ]'],['1.0'],['1.0']
['Name the debut team of Butch Metzger ?'],"['http://dbpedia.org/ontology/debutTeam,']",[' [        "http://dbpedia.org/ontology/debutTeam"    ]'],['1.0'],['1.0']
['Name the common distributing label of the Chinga Chang Records and StandBy Records ?'],"['http://dbpedia.org/ontology/distributingLabel,http://dbpedia.org/ontology/distributingLabel,']","[' [        ""http://dbpedia.org/ontology/distributingLabel"",         ""http://dbpedia.org/ontology/recordLabel""    ]']",['1.0'],['1.0']
['What are some relatives of the spouse of Uncle henry from Oz?'],"['http://dbpedia.org/ontology/spouse,http://dbpedia.org/ontology/relative,']","[' [        ""http://dbpedia.org/ontology/spouse"",         ""http://dbpedia.org/ontology/relative""    ]']",['1.0'],['1.0']
['Which line of the Vadodara Junction railway station is the route end of Mumbai Vadodara Expressway ?'],"['http://dbpedia.org/ontology/routeEnd,http://dbpedia.org/property/line,']",[' [        "http://dbpedia.org/ontology/routeEnd"    ]'],['1.0'],['1.0']
['In which racing championships did Bobby Beasley and Martin Molony participate?'],"['http://dbpedia.org/ontology/race,http://dbpedia.org/ontology/race,']",[' [        "http://dbpedia.org/ontology/raceHorse"    ]'],['0.0'],['0.0']
['Name the ground of Al-Rayan SC ?'],"['http://dbpedia.org/ontology/ground,']",[],,
['Who is the owner of the bank which owns Bloomberg Radio?'],"['http://dbpedia.org/ontology/owner,http://dbpedia.org/property/owner,http://dbpedia.org/ontology/Bank,']",[' [        "http://dbpedia.org/ontology/owner"    ]'],['1.0'],['1.0']
['Is Another Lonely Night in New York by the musical band Robin Gibb?'],"['http://dbpedia.org/ontology/musicalBand,']",[' [        "http://dbpedia.org/ontology/musicalBand"    ]'],['1.0'],['1.0']
['List all the developers of the Oddworld series?'],"['http://dbpedia.org/ontology/series,http://dbpedia.org/ontology/developer,']",[' [        "http://dbpedia.org/ontology/series"    ]'],['1.0'],['1.0']
['To which political party does the successor of Radhabinod Koijam belong?'],"['http://dbpedia.org/property/successor,http://dbpedia.org/property/party,']",[],,
['Which builder of Edwin Andrews Air Base isalso place of birth of the Akinoumi Setsuo ?'],"['http://dbpedia.org/ontology/builder,http://dbpedia.org/property/placeOfBirth,']",[' [        "http://dbpedia.org/ontology/builder"    ]'],['1.0'],['1.0']
['is ANYway in the Quack album?'],"['http://dbpedia.org/ontology/album,']",[' [        "http://dbpedia.org/ontology/album"    ]'],['1.0'],['1.0']
['What is a common ingredient used in boyt Blodpalt and Kaszanka ?'],"['http://dbpedia.org/ontology/ingredient,http://dbpedia.org/ontology/ingredient,']",[' [        "http://dbpedia.org/ontology/ingredient"    ]'],['1.0'],['1.0']
['Give me the count of tenants of the stadia whose one of the tenants is Toronto Furies?'],"['http://dbpedia.org/property/tenants,http://dbpedia.org/property/tenants,']",[' [        "http://dbpedia.org/property/tenants"    ]'],['1.0'],['1.0']
"['What is the serving railway line of Warwick railway station, Perth ?']","['http://dbpedia.org/ontology/servingRailwayLine,']",[' [        "http://dbpedia.org/property/line"    ]'],['0.5'],['1.0']
["Who wrote the subsequent work of One Day at a Time (Em's Version) ?"],"['http://dbpedia.org/ontology/subsequentWork,http://dbpedia.org/ontology/writer,']","[' [        ""http://dbpedia.org/ontology/subsequentWork"",         ""http://dbpedia.org/ontology/musicalArtist""    ]']",['0.666666666667'],['1.0']
"['Who is the architect of Red House, London ?']","['http://dbpedia.org/property/architect,']",[],,
['Count the number of tenants whose one of the tenant is Toronto Phantoms ?'],"['http://dbpedia.org/ontology/tenant,http://dbpedia.org/ontology/tenant,']",[],,
['Which company manufactured Delta III?'],"['http://dbpedia.org/ontology/manufacturer,']",[' [        "http://dbpedia.org/ontology/manufacturer"    ]'],['1.0'],['1.0']
['Name the river whose mouth mountain is Essex and river mouth is North Sea?'],"['http://dbpedia.org/ontology/mouthMountain,http://dbpedia.org/ontology/riverMouth,http://dbpedia.org/ontology/River,']","[' [        ""http://dbpedia.org/ontology/riverMouth"",         ""http://dbpedia.org/ontology/mouthMountain""    ]']",['1.0'],['1.0']
['Who is the owner of Bloomberg L.P. ?'],"['http://dbpedia.org/property/owner,']",[],,
['List the houses of Parliament of India ?'],"['http://dbpedia.org/property/houses,']",[],,
['Richard Gant did a guest appearance on which series?'],"['http://dbpedia.org/property/guests,http://dbpedia.org/ontology/series,']",[],,
['What is the home stadium of the soccer club seasons whose chairman is Merritt Paulson?'],"['http://dbpedia.org/property/chairman,http://dbpedia.org/ontology/homeStadium,http://dbpedia.org/ontology/SoccerClubSeason,']",[],,
['What is the government type of Kumta ?'],"['http://dbpedia.org/property/governmentType,']",[],,
