,question,facts,results,precesion,recall
1259,['Count all the Colonels?'],"['http://dbpedia.org/property/rank,']",[' [        "http://purl.org/dc/terms/subject"    ]'],['0.0'],['0.0']
1260,"['Who was on the first team in the GPs that were held at Watkins Glen, NY?']","['http://dbpedia.org/property/location,http://dbpedia.org/property/firstTeam,http://dbpedia.org/ontology/GrandPrix,']",[' [        "http://dbpedia.org/ontology/country"    ]'],['0.0'],['0.0']
1261,['Who produces the trains operated by the MTR?'],"['http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/manufacturer,http://dbpedia.org/ontology/Train,']","[' [        ""http://dbpedia.org/ontology/owner"",         ""http://dbpedia.org/ontology/operator""    ]']",['0.5'],['0.5']
1262,['Name the agency of Election Commission of Thailand ?'],"['http://dbpedia.org/property/agencyName,']",[],,
1263,['What is the second track list of Dschinghis Khan (song) ?'],"['http://dbpedia.org/ontology/subsequentWork,']",[' [        "http://purl.org/dc/terms/subject"    ]'],['0.0'],['0.0']
1264,['Which writer of Tales of Suspense is also the writer of karakuri Dji Ultimo ?'],"['http://dbpedia.org/property/writers,http://dbpedia.org/property/author,']",[],,
1265,['Who was the influencer of Dave Attel who also starred in Adios Amigo?'],"['http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/ontology/starring,']","[' [        ""http://dbpedia.org/ontology/starring"",         ""http://dbpedia.org/ontology/producer""    ]']",['0.5'],['0.5']
1266,"['Who is the producer of the album, after which A Nice pair was released ?']","['http://dbpedia.org/ontology/previousWork,http://dbpedia.org/property/producer,']",[' [        "http://dbpedia.org/ontology/producer"    ]'],['0.0'],['0.0']
1267,['Which politicians live in a city led by T.S. Thakur?'],"['http://dbpedia.org/ontology/leader,http://dbpedia.org/ontology/residence,']","[' [        ""http://dbpedia.org/ontology/successor"",         ""http://dbpedia.org/property/predecessor""    ]']",['0.333333333333'],['0.5']
1268,"[""Who is the military general buried in St Mary's Church, Battersea?""]","['http://dbpedia.org/property/placeofburial,http://dbpedia.org/ontology/MilitaryPerson,']",[],,
1269,['Which wars were fought when the commanders involved served under PM Choi Tu Son?'],"['http://dbpedia.org/property/primeminister,http://dbpedia.org/ontology/commander,http://dbpedia.org/ontology/MilitaryConflict,']",[],,
1270,['Give me a list of everyone who manages the famous rock art sites?'],"['http://dbpedia.org/property/architecture,http://dbpedia.org/ontology/governingBody,']",[],,
1271,['Did Jerry Rice study in Oktoc Mississippi?'],"['http://dbpedia.org/property/highSchool,']",[],,
1272,['Food in which countries has shallot in it?'],"['http://dbpedia.org/ontology/ingredient,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Food,']",[' [        "http://purl.org/dc/terms/subject"    ]'],['0.0'],['0.0']
1273,"['What is the country which lies on the European route E8, and where Ragnhild Jolson was born?']","['http://dbpedia.org/ontology/county,http://dbpedia.org/property/birthplace,']",[' [        "http://dbpedia.org/property/country"    ]'],['0.0'],['0.0']
1274,['What are the television shows whose distributer is HBO?'],"['http://dbpedia.org/property/distributor,http://dbpedia.org/ontology/TelevisionShow,']",[],,
1275,['Did Carolyn Heinrich study at the Vanderbilt?'],"['http://dbpedia.org/ontology/institution,']",[' [        "http://dbpedia.org/property/education"    ]'],['0.0'],['0.0']
1276,['How many cars succeeded the cars which were similar to Cadillac Fleetwood?'],"['http://dbpedia.org/property/related,http://dbpedia.org/ontology/predecessor,http://dbpedia.org/ontology/Automobile,']",[' [        "http://dbpedia.org/property/wordnet_type"    ]'],['0.5'],['1.0']
1277,"['Which person won Screen actors Guild Life Time Achievement award and has resting palce in Palo Alto, California ?']","['http://dbpedia.org/property/restingPlace,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Person,']","[' [        ""http://dbpedia.org/property/restingPlace"",         ""http://dbpedia.org/ontology/restingPlace""    ]']",['0.666666666667'],['1.0']
1278,['Give me a list of all the people driving at pole positions in the Grand Prixes where Renault was a first team?'],"['http://dbpedia.org/property/firstTeam,http://dbpedia.org/ontology/poleDriver,http://dbpedia.org/ontology/GrandPrix,']",[],,
1279,"['Which mainter of  Cheasty Boulevard South is also the county seat of the King County, Washingtonsu ?']","['http://dbpedia.org/ontology/maintainedBy,http://dbpedia.org/ontology/countySeat,']","[' [        ""http://dbpedia.org/ontology/countySeat"",         ""http://dbpedia.org/property/county""    ]']",['0.5'],['0.5']
1280,['Name the sea located near Europe and has a nearby city as Rostock ?'],"['http://dbpedia.org/property/cities,http://dbpedia.org/ontology/location,http://dbpedia.org/ontology/Sea,']",[' [        "http://dbpedia.org/ontology/sea"    ]'],['0.0'],['0.0']
1281,["Which team's players have played in the national hockey league?"],"['http://dbpedia.org/property/league,http://dbpedia.org/ontology/team,http://dbpedia.org/ontology/Athlete,']",[' [        "http://dbpedia.org/property/league"    ]'],['1.0'],['1.0']
1282,"['Which founder of European School, karlsruhe is also the jursdiction of Eurpoean Border of Coast guard ?']","['http://dbpedia.org/property/jurisdiction,http://dbpedia.org/property/founder,']",[],,
1283,['Trevor Peacock has narrated in which movie?'],"['http://dbpedia.org/property/narrator,http://dbpedia.org/ontology/Film,']",[],,
1284,['What team has Sam Keller and Jim McMilin played for?'],"['http://dbpedia.org/ontology/formerTeam,http://dbpedia.org/ontology/team,']","[' [        ""http://dbpedia.org/ontology/team"",         ""http://dbpedia.org/property/college""    ]']",['0.5'],['0.5']
1285,['Which work institutions of the Andrew Schally is the  alma mater of the Mara Eugenia Rojas Correa ?'],"['http://dbpedia.org/property/workInstitutions,http://dbpedia.org/property/almaMater,']",[],,
1286,['What religions do diplomats typically follow?'],"['http://dbpedia.org/ontology/profession,http://dbpedia.org/property/religion,']",[' [        "http://purl.org/dc/terms/subject"    ]'],['0.0'],['0.0']
1287,['Who is the owner of Ford Motor Credit comapny which is also the builder of FORD SHO V8 engine ?'],"['http://dbpedia.org/property/owner,http://dbpedia.org/ontology/manufacturer,']",[' [        "http://dbpedia.org/ontology/owner"    ]'],['0.0'],['0.0']
1288,['who are some miss michigan usa?'],"['http://dbpedia.org/property/title,']",[' [        "http://dbpedia.org/ontology/abstract"    ]'],['0.0'],['0.0']
1289,['Which cport of Vishwajyot High School is also the genere of Battle chess '],"['http://dbpedia.org/property/genre,http://dbpedia.org/ontology/sport,']",[' [        "http://dbpedia.org/property/successor"    ]'],['0.0'],['0.0']
1290,['Cleopatra V of Egypt is father to which royalty?'],"['http://dbpedia.org/property/mother,']",[' [        "http://xmlns.com/foaf/0.1/givenName"    ]'],['0.0'],['0.0']
1291,['How many TV show has distributor located in Burbank California ?'],"['http://dbpedia.org/ontology/locationCity,http://dbpedia.org/property/distributor,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/location"    ]'],['0.0'],['0.0']
1292,['NAme the emplyer for whihc Manu cornet has worked and also written in Google Web Toolkit ?'],"['http://dbpedia.org/property/employer,http://dbpedia.org/ontology/author,']",[' [        "http://dbpedia.org/ontology/author"    ]'],['1.0'],['1.0']
1293,['Where was the movie after Khiladi 786 recorded?'],"['http://dbpedia.org/property/nextAlbum,http://dbpedia.org/property/recorded,http://dbpedia.org/ontology/Film,']",[],,
1294,['Name the university which has Lieutenaunt general as superintendent and mascot as Gyrfalcon ?'],"['http://dbpedia.org/ontology/superintendent,http://dbpedia.org/property/mascot,http://dbpedia.org/ontology/University,']",[],,
1295,['What are the prizes awarded to the main members of DisneyToon Studios?'],"['http://dbpedia.org/ontology/keyPerson,http://dbpedia.org/ontology/award,']",[' [        "http://dbpedia.org/property/location"    ]'],['0.0'],['0.0']
1296,['Is greasy pop recording the distributor of festival records?'],"['http://dbpedia.org/ontology/distributingLabel,']",[' [        "http://dbpedia.org/ontology/distributingCompany"    ]'],['0.0'],['0.0']
1297,['Which sitcom is broadcasted by FOX and presented by Brian Dunkleman?'],"['http://dbpedia.org/ontology/channel,http://dbpedia.org/property/presenter,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/successor"    ]'],['0.0'],['0.0']
1298,['UEM group have made bridges crossing over what?'],"['http://dbpedia.org/property/designer,http://dbpedia.org/property/crosses,']",[],,
1299,['Which distributer of Glover (video game) is also the  publisher of the Super Mario Adventures ?'],"['http://dbpedia.org/ontology/distributor,http://dbpedia.org/property/publisher,']",[' [        "http://dbpedia.org/ontology/publisher"    ]'],['0.0'],['0.0']
1300,['Which shows have voices from people signed up with ABC Records?'],"['http://dbpedia.org/property/label,http://dbpedia.org/property/voices,http://dbpedia.org/ontology/TelevisionShow,']",[],,
1301,['Who is the developer of the software which is produced by Claris ?'],"['http://dbpedia.org/property/products,http://dbpedia.org/ontology/developer,http://dbpedia.org/ontology/Software,']",[' [        "http://dbpedia.org/ontology/developer"    ]'],['1.0'],['1.0']
1302,['Give me some administrators of bridges over which cars can go?'],"['http://dbpedia.org/property/carries,http://dbpedia.org/ontology/maintainedBy,http://dbpedia.org/ontology/Bridge,']",[],,
1303,"['After the death of which political figure, did the Coalition Provisional Authority came into power?']","['http://dbpedia.org/property/successor,']",[],,
1304,['Name the scientist who is known for inventing Anthrax and was a member of Royal Society?'],"['http://dbpedia.org/ontology/knownFor,http://dbpedia.org/property/prizes,http://dbpedia.org/ontology/Scientist,']",[' [        "http://dbpedia.org/ontology/knownFor"    ]'],['1.0'],['1.0']
1305,['Who were the opponents of the people buried in the tower of London?'],"['http://dbpedia.org/property/restingPlace,http://dbpedia.org/ontology/opponent,http://dbpedia.org/ontology/Person,']",[' [        "http://dbpedia.org/ontology/residence"    ]'],['0.0'],['0.0']
1306,['How many factions have fought when Egushawa was a commander?'],"['http://dbpedia.org/ontology/commander,http://dbpedia.org/property/combatant,']",[' [        "http://dbpedia.org/ontology/commander"    ]'],['1.0'],['1.0']
1307,['Which terrotory of Tonkin campaign also the death bed of Thophane Vnard ?'],"['http://dbpedia.org/ontology/territory,http://dbpedia.org/ontology/deathPlace,']",[' [        "http://dbpedia.org/ontology/isPartOfMilitaryConflict"    ]'],['0.0'],['0.0']
1308,['Name the scientist whose supervisor also supervised Mary Ainsworth?'],"['http://dbpedia.org/property/doctoralStudents,http://dbpedia.org/property/doctoralAdvisor,http://dbpedia.org/ontology/Scientist,']",[],,
1309,['How many titles were given to people who engaged in the Operation Dragoon?'],"['http://dbpedia.org/property/battles,http://dbpedia.org/ontology/award,']",[' [        "http://purl.org/dc/terms/subject"    ]'],['0.0'],['0.0']
1310,['How many other important things has the painter of Sarah Jane Adventures done?'],"['http://dbpedia.org/property/creator,http://dbpedia.org/ontology/notableWork,']",[' [        "http://dbpedia.org/ontology/creator"    ]'],['0.0'],['0.0']
1311,['Count all the universities who participated in the tournament won by Alabama Crimson Tides in 2015 ?'],"['http://dbpedia.org/property/champion,http://dbpedia.org/property/athletics,http://dbpedia.org/ontology/University,']",[' [        "http://dbpedia.org/ontology/year"    ]'],['0.0'],['0.0']
1312,['What is the currency of the country of Kerguelen Islands?'],"['http://dbpedia.org/ontology/governmentType,http://dbpedia.org/ontology/currency,']","[' [        ""http://dbpedia.org/ontology/currency"",         ""http://dbpedia.org/ontology/country""    ]']",['0.5'],['0.5']
1313,['For which country did Alexander Lippisch design airplanes?'],"['http://dbpedia.org/property/designer,http://dbpedia.org/property/nationalOrigin,http://dbpedia.org/ontology/Aircraft,']",[],,
1314,['Where did george f hoar and willian langer spend the most important time of their political career?'],"['http://dbpedia.org/property/order,http://dbpedia.org/property/order,']",[],,
1315,['Whihc birthpalce of Svetlana Gounkina is also the largest city of Union State ?'],"['http://dbpedia.org/property/largestCity,http://dbpedia.org/ontology/birthPlace,']",[' [        "http://dbpedia.org/property/residence"    ]'],['0.0'],['0.0']
1316,['What is the country whose speaker of the Dewan Rakyat is Pandikar Amin Mulia?'],"['http://dbpedia.org/property/leaderName,http://dbpedia.org/ontology/Country,']",[],,
1317,['To which series does the book belong which came after the Blade Runner 2?'],"['http://dbpedia.org/ontology/previousWork,http://dbpedia.org/ontology/series,']","[' [        ""http://dbpedia.org/ontology/series"",         ""http://purl.org/dc/elements/1.1/publisher""    ]']",['0.5'],['0.5']
1318,["Which company's cars are assembled in Colombia?"],"['http://dbpedia.org/property/assembly,http://dbpedia.org/property/parentCompany,http://dbpedia.org/ontology/Automobile,']",[' [        "http://dbpedia.org/ontology/ethnicGroupsInYear"    ]'],['0.0'],['0.0']
1319,['In which places do companies founded in Newcastle operate?'],"['http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/ontology/regionServed,http://dbpedia.org/ontology/Company,']","[' [        ""http://dbpedia.org/ontology/country"",         ""http://dbpedia.org/property/location""    ]']",['0.0'],['0.0']
1320,['Musical artists who are associated with Ren & Angela were born where ?'],"['http://dbpedia.org/property/associatedActs,http://dbpedia.org/property/birthPlace,http://dbpedia.org/ontology/MusicalArtist,']",[' [        "http://dbpedia.org/ontology/residence"    ]'],['0.0'],['0.0']
1321,["Paul Leonard's work can be divided into how many series?"],"['http://dbpedia.org/property/author,http://dbpedia.org/ontology/series,']",[],,
1322,['Which sects people are part of local political parties which fall under the International Muslim Brotherhood?'],"['http://dbpedia.org/property/international,http://dbpedia.org/ontology/religion,http://dbpedia.org/ontology/PoliticalParty,']",[' [        "http://dbpedia.org/property/international"    ]'],['1.0'],['1.0']
1323,['What do craig Van tilbury and karen Grigorian do for a living?'],"['http://dbpedia.org/ontology/occupation,http://dbpedia.org/ontology/occupation,']","[' [        ""http://dbpedia.org/ontology/hometown"",         ""http://dbpedia.org/ontology/residence""    ]']",['0.0'],['0.0']
1324,['List the universities from a country where Norwegian language is officially accepted.'],"['http://dbpedia.org/ontology/officialLanguage,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/University,']",[' [        "http://dbpedia.org/ontology/nationality"    ]'],['0.0'],['0.0']
1325,"['Where is the tunnel, which is operated by BNSF railways?']","['http://dbpedia.org/ontology/operatedBy,http://dbpedia.org/property/location,http://dbpedia.org/ontology/RailwayTunnel,']",[],,
1326,['What is the mascot of the military unit in which Ronald Wilson served?'],"['http://dbpedia.org/property/branch,http://dbpedia.org/property/mascot,']",[],,
1327,['Who battled under commander Egushawa in a conflict?'],"['http://dbpedia.org/ontology/commander,http://dbpedia.org/property/combatant,http://dbpedia.org/ontology/MilitaryConflict,']",[' [        "http://dbpedia.org/ontology/commander"    ]'],['1.0'],['1.0']
1328,['In which country is Bocas del toro a capital of some region?'],"['http://dbpedia.org/property/capital,http://dbpedia.org/property/country,']",[],,
1329,['What products are made by Tehran based companies?'],"['http://dbpedia.org/property/location,http://dbpedia.org/ontology/product,http://dbpedia.org/ontology/Company,']",[' [        "http://dbpedia.org/ontology/location"    ]'],['0.5'],['1.0']
1330,['What are some causes of death of European Americans?'],"['http://dbpedia.org/ontology/ethnicity,http://dbpedia.org/ontology/deathCause,']","[' [        ""http://dbpedia.org/ontology/spouse"",         ""http://dbpedia.org/ontology/child""    ]']",['0.333333333333'],['0.5']
1331,["Which settlement's neighboring municipalities are Cologny and Pregny-Chambsy?"],"['http://dbpedia.org/property/neighboringMunicipalities,http://dbpedia.org/ontology/neighboringMunicipality,http://dbpedia.org/ontology/Settlement,']",[' [        "http://dbpedia.org/ontology/settlement"    ]'],['0.5'],['1.0']
1332,['What kind of things are on the radio stations affiliated with the Baltimore Ravens?'],"['http://dbpedia.org/property/affiliations,http://dbpedia.org/ontology/programmeFormat,http://dbpedia.org/ontology/RadioStation,']",[],,
1333,['Which current member of Insect vs Robots is also the music composer of Kenny Dies ?'],"['http://dbpedia.org/property/currentMembers,http://dbpedia.org/ontology/musicComposer,']",[' [        "http://dbpedia.org/ontology/musicComposer"    ]'],['1.0'],['1.0']
1334,['Where did Georges Wolinski and Judson Huss die/'],"['http://dbpedia.org/property/placeOfDeath,http://dbpedia.org/property/deathPlace,']",[' [        "http://dbpedia.org/property/wordnet_type"    ]'],['0.0'],['0.0']
1335,['Which city is known for the people working in the western penn hospital?'],"['http://dbpedia.org/property/workInstitutions,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/ontology/Person,']",[],,
1336,['Which team won the American Football League?'],"['http://dbpedia.org/property/champion,']",[],,
1337,['Does the Jordan River start in the Golan Heights?'],"['http://dbpedia.org/ontology/sourceRegion,']",[' [        "http://dbpedia.org/ontology/country"    ]'],['0.0'],['0.0']
1338,"['Give me all office holders who finally retired in Montpelier, Orange, Virgina?']","['http://dbpedia.org/property/restingplace,http://dbpedia.org/ontology/OfficeHolder,']",[],,
1339,['In which company is Raymond Conner at an important position?'],"['http://dbpedia.org/ontology/keyPerson,']",[' [        "http://dbpedia.org/ontology/occupation"    ]'],['0.0'],['0.0']
1340,['Name the actors of the TV show which has an episode named The Five ?'],"['http://dbpedia.org/property/series,http://dbpedia.org/property/starring,http://dbpedia.org/ontology/TelevisionShow,']",[],,
1341,['Where are the National Academy Museum and School awardwinners buried?'],"['http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/restingPlace,']",[' [        "http://dbpedia.org/ontology/award"    ]'],['1.0'],['1.0']
1342,['What is the common location of  tomb of the Elizabeth of Rhuddlan and Isabel of Cambridge?'],"['http://dbpedia.org/property/placeOfBurial,http://dbpedia.org/property/placeOfBurial,']",[],,
1343,['Which company had built the rockets launched at the Cape Canaveral Air Force Station Space Launch Complex 17?'],"['http://dbpedia.org/ontology/launchSite,http://dbpedia.org/ontology/manufacturer,']",[' [        "http://dbpedia.org/property/launchSite"    ]'],['0.5'],['1.0']
1344,['What are the former team of the american football players who played at gridiron football position ?'],"['http://dbpedia.org/property/position,http://dbpedia.org/ontology/formerTeam,http://dbpedia.org/ontology/AmericanFootballPlayer,']",[' [        "http://dbpedia.org/property/position"    ]'],['1.0'],['1.0']
1345,['What  is the meaning of the Isa (name) which is also a relegion of Sacred Heart Convent School (Bangkok) ?'],"['http://dbpedia.org/property/meaning,http://dbpedia.org/ontology/type,']",[' [        "http://dbpedia.org/ontology/meaning"    ]'],['0.0'],['0.0']
1346,['Who are the managers of clubs participating in the 2014-2015 Football League Championship?'],"['http://dbpedia.org/ontology/season,http://dbpedia.org/ontology/managerClub,']",[],,
1347,['Which official residence of Nikos Pateras is also the stadium of anionios G.S.S. season 2014-15 ?'],"['http://dbpedia.org/property/stadium,http://dbpedia.org/ontology/residence,']",[' [        "http://dbpedia.org/ontology/residence"    ]'],['1.0'],['1.0']
1348,['What is the country of the Hirth Acrostar and the Cobra missile?'],"['http://dbpedia.org/ontology/origin,http://dbpedia.org/ontology/origin,']",[' [        "http://dbpedia.org/property/isMissile"    ]'],['0.0'],['0.0']
1349,['Collect and return a list of things in the area where Spanish language is used?'],"['http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/location,']",[' [        "http://dbpedia.org/property/language"    ]'],['0.5'],['1.0']
1350,['What made jo garcia and merritt cabal both famous?'],"['http://dbpedia.org/ontology/knownFor,http://dbpedia.org/ontology/knownFor,']",[' [        "http://xmlns.com/foaf/0.1/gender"    ]'],['0.0'],['0.0']
1351,['Is GIMP written in C?'],"['http://dbpedia.org/ontology/programmingLanguage,']",[' [        "http://dbpedia.org/ontology/author"    ]'],['0.0'],['0.0']
1352,['What are all the countires where food related to tuna salad is consumed ?'],"['http://dbpedia.org/ontology/related,http://dbpedia.org/property/country,']",[' [        "http://dbpedia.org/ontology/related"    ]'],['1.0'],['1.0']
1353,['How many different genres led to other genres where drums are important?'],"['http://dbpedia.org/property/instruments,http://dbpedia.org/ontology/stylisticOrigin,http://dbpedia.org/ontology/MusicGenre,']",[' [        "http://dbpedia.org/property/date"    ]'],['0.0'],['0.0']
1354,['How many people have played for the NBA?'],"['http://dbpedia.org/property/league,']",[' [        "http://dbpedia.org/ontology/team"    ]'],['0.0'],['0.0']
1355,['Where is the headquarters of the public transit system which operators Go-to-card ?'],"['http://dbpedia.org/property/operator,http://dbpedia.org/property/headquarters,http://dbpedia.org/ontology/PublicTransitSystem,']",[],,
1356,["How many people played for Newell's Old Boys?"],"['http://dbpedia.org/property/youthclubs,']",[' [        "http://dbpedia.org/ontology/stadium"    ]'],['0.0'],['0.0']
1357,['What is the occupation of the band members of The Shirelles?'],"['http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/ontology/occupation,']",[' [        "http://dbpedia.org/ontology/president"    ]'],['0.0'],['0.0']
1358,['Which tv series have a score composed by judy hard angelo?'],"['http://dbpedia.org/ontology/composer,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/composer"    ]'],['1.0'],['1.0']
1359,['Name the TV show with artist Christopher Franke and cast member Jason Carter ?'],"['http://dbpedia.org/property/artist,http://dbpedia.org/ontology/starring,http://dbpedia.org/ontology/TelevisionShow,']",[' [        "http://dbpedia.org/ontology/artist"    ]'],['0.0'],['0.0']
1360,['Name the office holder with successor as Adrian A Basora and child as Lori Black ?'],"['http://dbpedia.org/ontology/child,http://dbpedia.org/property/successor,http://dbpedia.org/ontology/OfficeHolder,']","[' [        ""http://dbpedia.org/property/successor"",         ""http://dbpedia.org/ontology/successor""    ]']",['0.666666666667'],['1.0']
1361,['What band has Joe Hahn and Chester Bennington?'],"['http://dbpedia.org/property/currentMembers,http://dbpedia.org/property/currentMembers,http://dbpedia.org/ontology/Band,']",[],,
1362,['In which cities are there american football teams where Matt Snorton played?'],"['http://dbpedia.org/property/pastteams,http://dbpedia.org/ontology/locationCity,http://dbpedia.org/ontology/AmericanFootballTeam,']",[],,
1363,['How many awards have the french people received?'],"['http://dbpedia.org/ontology/stateOfOrigin,http://dbpedia.org/property/awards,']",[' [        "http://dbpedia.org/ontology/totalPopulation"    ]'],['0.0'],['0.0']
1364,"['Where is the VP buried, which was served by Frederick Cooke?']","['http://dbpedia.org/ontology/vicePresident,http://dbpedia.org/ontology/restingPlace,']",[' [        "http://dbpedia.org/ontology/successor"    ]'],['0.0'],['0.0']
1365,['What is the sea connected to Oulu and Turku?'],"['http://dbpedia.org/property/cities,http://dbpedia.org/property/cities,http://dbpedia.org/ontology/Sea,']",[],,
1366,['does the US navy have the structure of command of us department of defence?'],"['http://dbpedia.org/property/commandStructure,']",[],,
1367,['What country did the successor of William Ofori Atta swear his oath to?'],"['http://dbpedia.org/property/predecessor,http://dbpedia.org/property/allegiance,']",[' [        "http://dbpedia.org/ontology/stateDelegate"    ]'],['0.0'],['0.0']
1368,['Through which label has Katy B released her singles?'],"['http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/ontology/Single,']","[' [        ""http://dbpedia.org/ontology/recordLabel"",         ""http://dbpedia.org/ontology/artist""    ]']",['0.5'],['0.5']
1369,['What are some awards given to the french people?'],"['http://dbpedia.org/ontology/stateOfOrigin,http://dbpedia.org/property/awards,']",[' [        "http://dbpedia.org/ontology/totalPopulation"    ]'],['0.0'],['0.0']
1370,['Where is Lao Plaza Hotel located?'],"['http://dbpedia.org/property/developer,']",[],,
1371,['In how many nations does Rhaetian Railways own train stations?'],"['http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Country,']",[' [        "http://dbpedia.org/property/mapState"    ]'],['0.0'],['0.0']
1372,['Where are the burial grounds of Willem Cornelis Janse van Rensburg and Thomas Franois Burgers?'],"['http://dbpedia.org/property/restingplace,http://dbpedia.org/property/restingplace,']",[' [        "http://dbpedia.org/ontology/portrayer"    ]'],['1.0'],['1.0']
1373,['Who had headed the governmental agencies whose admin HQ was in Niederkirchnerstrasse?'],"['http://dbpedia.org/ontology/headquarter,http://dbpedia.org/ontology/leader,http://dbpedia.org/ontology/GovernmentAgency,']",[],,
1374,"['In which city was the company founded , which owns Grasim Bhiwani Textiles?']","['http://dbpedia.org/property/parent,http://dbpedia.org/property/foundation,http://dbpedia.org/ontology/Company,']",[],,
1375,['Which country has outflow of  Lake Uniamsi and  inflows of the Cahora Bassa?'],"['http://dbpedia.org/property/outflow,http://dbpedia.org/property/inflow,']",[],,
1376,["Which city's neighboring municipalities are Lancy and  Pregny-Chambsy?"],"['http://dbpedia.org/property/neighboringMunicipalities,http://dbpedia.org/ontology/neighboringMunicipality,http://dbpedia.org/ontology/Location,']",[' [        "http://dbpedia.org/ontology/neighboringMunicipality"    ]'],['1.0'],['1.0']
1377,['Which military battles are associated with Israel?'],"['http://dbpedia.org/ontology/place,http://dbpedia.org/ontology/MilitaryConflict,']",[' [        "http://dbpedia.org/property/gdpPppRank"    ]'],['0.0'],['0.0']
1378,["Which city has it's landmark as Cheasty Boulevard South?"],"['http://dbpedia.org/ontology/maintainedBy,']",[' [        "http://dbpedia.org/ontology/placeOfBurial"    ]'],['0.0'],['0.0']
1379,['What are some short story kind of Books?'],"['http://dbpedia.org/ontology/literaryGenre,']",[' [        "http://dbpedia.org/property/publicationType"    ]'],['0.0'],['0.0']
1380,['Give me the sitcoms where Eliza Schneider and Isaac Hayes gave voice?'],"['http://dbpedia.org/property/voices,http://dbpedia.org/property/voices,http://dbpedia.org/ontology/TelevisionShow,']",[],,
1381,['Who employed the person famous for the Boeing fa18ef Super Hornet?'],"['http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Boeing_F/A-18E/F_Super_Hornet,http://dbpedia.org/property/employer,http://dbpedia.org/ontology/Person,']",[],,
1382,['List the resting place of the people who served in Norwalk Trainband.'],"['http://dbpedia.org/ontology/militaryUnit,http://dbpedia.org/property/restingplace,http://dbpedia.org/ontology/Person,']",[' [        "http://dbpedia.org/ontology/militaryUnit"    ]'],['1.0'],['1.0']
1383,['List all the narrator of the albums which had Alan Barzman as one of the narrator ?'],"['http://dbpedia.org/property/narrated,http://dbpedia.org/property/narrated,http://dbpedia.org/ontology/Album,']",[],,
1384,['Give me all tv shows which are based in boston and massachusetts?'],"['http://dbpedia.org/ontology/location,http://dbpedia.org/ontology/location,http://dbpedia.org/ontology/TelevisionShow,']","[' [        ""http://dbpedia.org/ontology/foundingDate"",         ""http://dbpedia.org/property/location""    ]']",['0.666666666667'],['1.0']
1385,"['Who is married to a Miss Louisiana, USA?']","['http://dbpedia.org/property/title,http://dbpedia.org/property/spouse,']",[' [        "http://dbpedia.org/ontology/president"    ]'],['0.0'],['0.0']
1386,['Who has produced movies that have a James Horner score?'],"['http://dbpedia.org/property/music,http://dbpedia.org/property/producer,http://dbpedia.org/ontology/Film,']",[' [        "http://dbpedia.org/ontology/producer"    ]'],['0.0'],['0.0']
1387,['What is the birth place of the astronaut whose mission was the Vostok programmer?'],"['http://dbpedia.org/property/mission,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Astronaut,']",[],,
1388,"['What team did the players start their careers with, who right now play for Fleisher Yarn?']","['http://dbpedia.org/ontology/team,http://dbpedia.org/property/debutteam,http://dbpedia.org/ontology/Athlete,']",[' [        "http://dbpedia.org/ontology/team"    ]'],['1.0'],['1.0']
1389,['Name the company which produces both  Boeing F/A-18 E/F Hornet nad CH-46 Chinook ?'],"['http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Boeing_F/A-18E/F_Super_Hornet,http://dbpedia.org/property/products,http://dbpedia.org/ontology/Company,']",[' [        "http://dbpedia.org/property/powerMain"    ]'],['0.0'],['0.0']
1390,['Count all the awards which were presented by something located in California.'],"['http://dbpedia.org/ontology/headquarter,http://dbpedia.org/ontology/presenter,http://dbpedia.org/ontology/Award,']",[' [        "http://dbpedia.org/ontology/award"    ]'],['0.0'],['0.0']
1391,['Where did the aristocrats die whose mother was Maria Ludwika Krasiska?'],"['http://dbpedia.org/property/mother,http://dbpedia.org/property/deathPlace,http://dbpedia.org/ontology/Royalty,']",[],,
1392,['Find the total number of  ingredient of the recepies whose ingredient is common Mushroom ?'],"['http://dbpedia.org/ontology/ingredient,http://dbpedia.org/ontology/ingredient,']",[' [        "http://dbpedia.org/ontology/ingredient"    ]'],['1.0'],['1.0']
